Q2,Fa,FaErr
-0.277777777778,0.0,0.0
0.003125,-0.00165894556874,0.0
0.009375,-0.00487913592215,0.0
0.01875,-1.43828903652,0.846420716854
0.03125,-0.682597278906,0.794389415557
0.04375,-0.291497593307,1.52440416543
0.075,-1.00648844591,0.33340781917
0.125,-0.983303192465,0.180629773862
0.175,-0.949782887864,0.144869695517
0.25,-0.94618692364,0.0979746022622
0.3499,-0.776282157479,0.0933787146146
0.4995,-0.497158387817,0.119909847176
0.6993,-0.38245439857,0.13947464697
0.8991,-0.361155689683,0.133287295457
1.099,-0.349469323444,0.113080719416
1.582,-0.288345137663,0.0721763695928
2.815,-0.266227586717,0.0567804853113
4.768,-0.316691743864,0.152851367847
7.596,-0.0101539359729,0.0
10.2777777778,-3.19635389588e-10,0.0
