Q2,Fa,FaErr
-0.277777777778,0.0,0.0
0.003125,-0.00165958718782,0.0
0.009375,-0.00488577963636,0.0
0.01875,-1.44276884666,0.843786005048
0.03125,-0.695392359279,0.779479637433
0.04375,-0.324427837325,1.35936290948
0.075,-1.01517694972,0.330463027748
0.125,-0.988344011988,0.179647274867
0.175,-0.952628661034,0.144380938728
0.25,-0.948493933865,0.0976861288287
0.3499,-0.779920359378,0.09284498994
0.4995,-0.503312126141,0.118015847959
0.6993,-0.387935267546,0.1367326124
0.8991,-0.363790610129,0.13188801833
1.099,-0.35001030329,0.112789717214
1.582,-0.287148564314,0.0726113331548
2.815,-0.266136196366,0.056854463162
4.768,-0.316641471571,0.152822681998
7.596,-0.00990545627244,0.0
10.2777777778,-3.19635389588e-10,0.0
